FIPS,state,name,population,total_liabilities,revenue,lib_rev_ratio,percapita,state_abv
06037,California,Los Angeles County,10014009,52768946000,29454082000,179.156648,5269.51254,CA
17031,Illinois,Cook County,5275541,21176754633,6061200953,349.3821571,4014.138954,IL
48201,Texas,Harris County,4731145,8947139580,4137326161,216.2541514,1891.115064,TX
04013,Arizona,Maricopa County,4420568,2834203888,2499817863,113.3764155,641.1402082,AZ
06073,California,San Diego County,3298634,6570540000,5306058000,123.8309118,1991.897252,CA
06059,California,Orange County,3186989,7044193000,4801992000,146.6931432,2210.297243,CA
12086,Florida,Miami-Dade County,2701767,27654208000,9453906000,292.516215,10235.60063,FL
48113,Texas,Dallas County,2613539,942867000,1062432000,88.74610328,360.7625522,TX
06065,California,Riverside County,2418185,8461146000,5091044000,166.1966779,3498.965546,CA
53033,Washington,King County,2269675,7102405000,5016201000,141.5893223,3129.260797,WA
32003,Nevada,Clark County,2265461,11263235204,5146232160,218.8637211,4971.71887,NV
06071,California,San Bernardino County,2181654,4697075000,5011731000,93.72161036,2152.988054,CA
48439,Texas,Tarrant County,2110640,908700000,816457000,111.2979618,430.5329189,TX
48029,Texas,Bexar County,2009324,3027051150,869968776,347.9494016,1506.502261,TX
12011,Florida,Broward County,1944375,7728588000,3660292000,211.146761,3974.844359,FL
06085,California,Santa Clara County,1936259,10454942000,7052128000,148.2523006,5399.557601,CA
26163,Michigan,Wayne County,1793561,1812948420,1084737794,167.1324102,1010.809457,MI
06001,California,Alameda County,1682353,4327169000,3470053000,124.700372,2572.093372,CA
06067,California,Sacramento County,1585055,67797303,109469081,61.93283289,42.77283943,CA
36103,New York,Suffolk County,1525920,12322349989,3589705708,343.2690864,8075.35781,NY
12099,Florida,Palm Beach County,1492191,4197746860,2731751287,153.6650456,2813.14313,FL
12057,Florida,Hillsborough County,1459762,3229923000,2543904000,126.9671733,2212.636717,FL
12095,Florida,Orange County,1429908,3034626323,2730260273,111.1478767,2122.252846,FL
36059,New York,Nassau County,1395774,14455591000,3431196000,421.2988999,10356.68453,NY
39049,Ohio,Franklin County,1323807,1539152000,1407426000,109.3593553,1162.670994,OH
48453,Texas,Travis County,1290188,2724331272,990562635,275.0286732,2111.576973,TX
27053,Minnesota,Hennepin County,1281565,3494379106,3366383989,103.8021544,2726.649921,MN
26125,Michigan,Oakland County,1274395,741376009,970737618,76.37244043,581.7474245,MI
39035,Ohio,Cuyahoga County,1264817,2415923380,1522380010,158.6938454,1910.097176,OH
42003,Pennsylvania,Allegheny County,1250578,3045677641,2198270322,138.5488222,2435.415976,PA
49035,Utah,Salt Lake County,1185238,958229946,1332987995,71.88586466,808.4704895,UT
06013,California,Contra Costa County,1165927,2611861000,3738705000,69.86004512,2240.15826,CA
51059,Virginia,Fairfax County,1150309,7213251402,5484428195,131.5223966,6270.707612,VA
37183,North Carolina,Wake County,1129410,3533852433,1689602194,209.1529264,3128.936731,NC
37119,North Carolina,Mecklenburg County,1115482,2678783023,1869490833,143.2894441,2401.457866,NC
13121,Georgia,Fulton County,1066710,3257955000,1134497000,287.1717598,3054.208735,GA
48085,Texas,Collin County,1064465,665516189,451872776,147.2795495,625.2119036,TX
24031,Maryland,Montgomery County,1062061,6415638072,5082707410,126.2248159,6040.74349,MD
04019,Arizona,Pima County,1043433,1970239000,1188854000,165.7259007,1888.22761,AZ
06019,California,Fresno County,1008654,2161228000,1757231000,122.9905459,2142.685202,CA
36119,New York,Westchester County,1004457,6973518018,2636441581,264.5049323,6942.574961,NY
29189,Missouri,St Louis County,1004125,1099837660,870844379,126.2955456,1095.319467,MO
18097,Indiana,Marion County,977203,873586220,348954336,250.3439934,893.965962,IN
24033,Maryland,Prince Georges County,967201,7876190727,2497217158,315.398711,8143.282241,MD
12103,Florida,Pinellas County,959107,1957358812,1558505792,125.592014,2040.813811,FL
13135,Georgia,Gwinnett County,957062,1455596,1697363,85.7563173,1.520900422,GA
34003,New Jersey,Bergen County,955732,1293974943,813424414,159.0774657,1353.909823,NJ
36029,New York,Erie County,954236,3025657000,1883843000,160.6108895,3170.763836,NY
55079,Wisconsin,Milwaukee County,939489,2876921000,1171061000,245.6679029,3062.21893,WI
17043,Illinois,Dupage County,932877,476399747,558287578,85.33232079,510.6779854,IL
47157,Tennessee,Shelby County,929744,1845498562,1216535173,151.7012087,1984.953452,TN
53053,Washington,Pierce County,921130,758885000,938767000,80.83848282,823.8630812,WA
06029,California,Kern County,909235,2747291000,1848241000,148.6435481,3021.541186,CA
48121,Texas,Denton County,906422,920520035,417144223,220.6718886,1015.5535,TX
26099,Michigan,Macomb County,881217,588170168,838603717,70.13684248,667.4521349,MI
48215,Texas,Hidalgo County,870781,669328010,639773050,104.6196007,768.65252,TX
