FIPS,state,total_liabilities,revenue,lib_rev_ratio,population,per_capita
01,Alabama,13679635000,30108701000,0.454341587,4921532,2779.548116
02,Alaska,14129014000,9104519000,1.551868254,731158,19324.15976
04,Arizona,24362565000,48198360000,0.505464605,7421401,3282.744727
05,Arkansas,13143393000,25838329000,0.508678135,3030522,4337.006298
06,California,4.08305E+11,3.86616E+11,1.056100431,39368078,10371.48217
08,Colorado,28766869000,41175254000,0.698644603,5807719,4953.212957
09,Connecticut,97821884000,35717659000,2.738754071,3557006,27501.18611
10,Delaware,15909284000,10496375000,1.51569318,986809,16121.94862
11,District of Columbia,17091665000,16397733000,1.042318777,712816,23977.66745
12,Florida,72860317000,1.0584E+11,0.688403542,21733312,3352.471864
13,Georgia,42898593000,65986964000,0.650107088,10710017,4005.46451
15,Hawaii,28421578000,14507982000,1.959030415,1407006,20200.04037
16,Idaho,4075441000,11883210000,0.342957921,1826913,2230.78001
17,Illinois,2.63405E+11,91181741000,2.888789007,12587530,20925.85368
18,Indiana,19776175000,42536473000,0.464922773,6754953,2927.655455
19,Iowa,9758958000,26729140000,0.365105574,3163561,3084.801589
20,Kansas,9981002000,17602156000,0.567032925,2913805,3425.418654
21,Kentucky,41600354000,33658968000,1.235936705,4477251,9291.494714
22,Louisiana,31993734000,36341565000,0.880362032,4645318,6887.307607
23,Maine,8836880000,10625590000,0.831660171,1350141,6545.153432
24,Maryland,65583150000,50630119000,1.29533865,6055802,10829.80421
25,Massachusetts,1.13588E+11,76583475000,1.48319582,6893574,16477.4165
26,Michigan,35977177000,88274088000,0.407562149,9966555,3609.790645
27,Minnesota,23927324000,49990315000,0.478639192,5657342,4229.42859
28,Mississippi,13060607000,20501316000,0.637061884,2966786,4402.274717
29,Missouri,19395710,32418542,0.598290633,6151548,3.152980356
30,Montana,5140282000,8213225000,0.625854278,1080577,4756.97891
31,Nebraska,3728215000,11108805000,0.335609006,1937552,1924.188357
32,Nevada,10676834000,16771174000,0.636618164,3138259,3402.151958
33,New Hampshire,6048361000,8682854000,0.696586744,1366275,4426.898684
34,New Jersey,2.13903E+11,73616040355,2.905658697,8882371,24081.75563
35,New Mexico,14617951000,23558395000,0.620498595,2106319,6940.046118
36,New York,1.88872E+11,1.89989E+11,0.994120712,19336776,9767.50209
37,North Carolina,29040557000,59639395000,0.486935808,10600823,2739.462493
38,North Dakota,7875818413,10137156850,0.776925772,765309,10291.0307
39,Ohio,55081480000,79125001000,0.69613244,11693217,4710.549714
40,Oklahoma,7276923000,23510595000,0.309516752,3980783,1828.012981
41,Oregon,24144226000,35294208000,0.684084652,4241507,5692.369717
42,Pennsylvania,79810308000,1.09337E+11,0.729949772,12783254,6243.348368
44,Rhode Island,9830412000,10232146000,0.96073805,1057125,9299.195459
45,South Carolina,15642105000,31800560000,0.491881432,5218040,2997.697411
46,South Dakota,2421365000,5001397000,0.484137732,892717,2712.354531
47,Tennessee,9697381000,39355553000,0.246404389,6886834,1408.104363
48,Texas,2.5025E+11,1.99989E+11,1.25132275,29360759,8523.293454
49,Utah,8052895000,17241722000,0.467058627,3249879,2477.906101
50,Vermont,7263223731,7162262953,1.014096212,623347,11651.97511
51,Virginia,26563639000,58156929000,0.456757939,8590563,3092.18837
53,Washington,84090857000,72609544000,1.15812402,7693612,10929.95813
54,West Virginia,13162213000,14506334000,0.907342475,1784787,7374.668798
55,Wisconsin,28548691000,44293015000,0.644541605,5832655,4894.63049
56,Wyoming,10270669870,4701674995,2.184470403,582328,17637.25919
